"Country","Population","Life Expectancy","Income","Babies per Women","Child Mortality","c02 Emissions","GDP","Health Spending","Population Density","Water Source","Murders"
"Afghanistan",28200000,60.5,2030,5.82,88,0.29,2030,4.39,43.4,48.8,4130
"Angola",23400000,60.2,7690,6.16,120,1.24,7690,102,18.7,50.4,824
"Albania",2910000,78.1,10700,1.65,13.3,2.26,10700,94,106,91.4,65.9
"UAE",8480000,70.8,54700,1.87,8.48,23.9,54700,1080,119,99.8,142
"Argentina",41100000,75.9,23500,2.37,14.4,4.17,23500,405,14.7,98.4,2450
"Armenia",2950000,73.9,9070,1.55,18.5,1.78,9070,54.2,104,98.1,154
"Antigua and Barbuda",85700,75.9,18700,2.13,9.59,5.96,18700,490,195,98.4,5.05
"Australia",22000000,82.1,45000,1.93,4.77,17.9,45000,3250,2.87,99.9,326
"Austria",8360000,80.8,51800,1.44,4.33,12,51800,3840,101,100,68.5
"Azerbaijan",9240000,69,14100,1.96,37.6,3.32,14100,67.3,112,86,340
"Burundi",9130000,58.5,804,6.26,90.7,0.036,804,7.91,352,56.5,85.4
"Belgium",10900000,80.2,48000,1.81,4.46,19.7,48000,3450,359,100,160
"Benin",9450000,61.1,2630,5.36,111,0.761,2630,15,83.8,64.5,640
"Burkina Faso",16100000,57.9,1660,5.87,114,0.201,1660,20.3,58.9,53.4,1310
"Bangladesh",148000000,70,3400,2.28,49.1,0.353,3400,58,1140,96.6,3580
"Bulgaria",7590000,72.3,18200,1.49,10.7,5.91,18200,237,70,99.4,195
"Bahrain",1210000,75,45600,2.14,8.53,14.8,45600,634,1550,99.9,35.5
"Bahamas",373000,73.2,34300,1.87,12.9,6.73,34300,791,69.7,98.7,109
"Bosnia and Herzegovina",3810000,76.3,10600,1.31,7.18,5.71,10600,307,74.4,96.7,108
"Belarus",9730000,70.6,17300,1.54,5.52,6.3,17300,248,48,98.3,1020
"Belize",322000,73.6,8990,2.72,18.9,1.67,8990,150,14.1,93.9,96
"Bolivia",10200000,70.3,6500,3.2,41.1,1.32,6500,60.6,9.44,87.4,628
"Brazil",196000000,73.8,14800,1.81,18.7,2.46,14800,466,23.5,96.5,62900
"Barbados",275000,76.2,16000,1.78,14.6,5.19,16000,652,639,98.4,31.4
"Brunei",396000,73.8,66500,1.84,9.66,16.7,66500,748,68.7,99.9,5.72
"Bhutan",706000,71,7960,2.38,42.5,0.678,7960,94.2,18.4,92.9,8.83
"Botswana",2090000,57,12700,2.88,49.8,5.05,12700,446,3.69,83.1,478
"Central African Republic",4660000,47.8,1130,5.22,150,0.06,1130,6.44,7.48,47.6,317
"Canada",34000000,81.6,44900,1.64,5.65,17.8,44900,3680,3.73,99.2,613
"Switzerland",7820000,82.8,65300,1.5,4.55,12.9,65300,4610,196,100,55.4
"Chile",17000000,78.6,21200,1.88,8.7,4.32,21200,456,22.6,98.3,797
"China",1350000000,74.9,8880,1.59,15.8,5.42,8880,118,140,88.7,18900
"Cote d'Ivoire",21100000,57.4,3740,5.22,107,0.383,3740,12.9,66.4,71.7,1980
"Cameroon",19900000,57.7,3300,5.11,107,0.472,3300,18.2,42.7,63.2,713
"Congo, Dem. Rep.",66400000,58.8,842,6.47,115,0.03,842,6.7,29.3,36.9,2260
"Congo, Rep.",4440000,60.9,4980,4.95,62.5,0.459,4980,33.8,13,65.9,217
"Colombia",44800000,77.9,11900,2.01,18.5,1.9,11900,343,39.9,94.8,18900
"Comoros",656000,65.9,3030,4.92,87.1,0.234,3030,22.3,353,83.4,41
"Cape Verde",521000,74.4,6600,2.67,24.9,1.13,6600,116,129,83.1,88.6
"Costa Rica",4620000,79.5,16700,1.92,10.1,2.4,16700,553,90.5,98.1,467
"Cuba",11300000,78.5,9140,1.64,6.15,3.02,9140,555,106,93.1,605
"Cyprus",1130000,79.5,38400,1.42,3.57,7.6,38400,708,122,99.8,20.9
"Czech Republic",10500000,77.8,33500,1.47,3.38,11.5,33500,1240,136,99.9,135
"Germany",81300000,80.5,47000,1.39,4.18,12.5,47000,3600,233,100,665
"Djibouti",919000,63.2,3260,3.3,76.4,0.615,3260,59.8,39.7,75.6,97.7
"Denmark",5550000,79.5,50800,1.88,4.11,11.2,50800,5470,131,100,51.8
"Dominican Republic",9780000,73.5,12700,2.6,34.2,7.43,12700,140,202,94.2,1910
"Algeria",35900000,74.5,11000,2.89,27.4,3.28,11000,139,15.1,92.3,530
"Ecuador",15000000,74.3,10400,2.66,18.3,2.62,10400,122,60.4,89.5,3130
"Egypt",87300000,69.4,10300,3.19,29,2.29,10300,46.1,87.7,98.5,535
"Eritrea",3150000,60,1440,4.61,55.4,0.157,1440,5.74,26,50,587
"Spain",46600000,82.1,37300,1.37,3.85,7.01,37300,2100,92.7,100,395
"Estonia",1330000,76.3,26000,1.64,4.57,12.9,26000,671,30.6,99,76.9
"Ethiopia",89200000,63,1240,4.92,82.9,0.056,1240,8.41,89.2,34,6360
"Finland",5360000,80.4,45900,1.87,3.06,15.3,45900,2990,17.7,100,109
"Fiji",905000,67.6,10000,2.67,23.9,1.4,10000,108,49.5,95.1,37.5
"France",62400000,81.6,42100,1.99,4.27,8.02,42100,3650,113,100,594
"Micronesia, Fed. Sts.",108000,64,3500,3.46,39.9,0.998,3500,334,154,90.5,9.04
"Gabon",1710000,63.3,13700,4.08,62.8,2.94,13700,160,6.64,83.5,71
"UK",62800000,80.6,42000,1.89,5.16,10.8,42000,2940,259,100,376
"Georgia",3840000,71.9,9740,1.92,14.2,2.08,9740,64.2,55.2,95.2,168
"Ghana",25600000,61.8,3710,4.27,69.9,0.575,3710,39.9,112,75.6,802
"Guinea",10300000,57.6,1860,5.34,117,0.419,1860,2.6,41.8,57,763
"Gambia",1940000,63.7,2170,5.71,77.1,0.241,2170,13.3,191,78.5,13.1
"Guinea-Bissau",1570000,56.2,1700,5.05,114,0.157,1700,4.7,55.7,59.2,165
"Equatorial Guinea",1090000,63.5,29900,5.21,112,7.31,29900,681,39,60.4,35.9
"Greece",11000000,80.4,33700,1.41,3.91,8.31,33700,1620,84.3,99.9,161
"Grenada",114000,72.5,12500,2.24,14.2,2.45,12500,198,335,95.6,7.31
"Guatemala",14500000,70.3,7340,3.38,35,0.707,7340,68.7,136,90.3,6990
"Guyana",748000,65.8,9830,2.66,37.4,2.29,9830,136,3.8,91.8,163
"Haiti",9840000,32.5,2940,3.33,209,0.211,2940,9.95,357,62.2,2880
"Hungary",9990000,74.8,24500,1.33,6,7.19,24500,654,110,100,174
"Indonesia",244000000,69.3,8210,2.48,34.1,1.83,8210,37.7,128,84.5,2460
"India",1240000000,67.3,4210,2.6,58.2,1.26,4210,15.8,417,86.2,42600
"Ireland",4520000,80.8,53700,2,4.17,11,53700,2930,66.2,96.6,49.1
"Iran",75400000,75.5,15100,1.77,19.7,6.47,15100,127,46.3,96,2520
"Iraq",31300000,70.6,8180,4.56,34.8,3.73,8180,200,72,89.7,4370
"Iceland",318000,82.6,47500,2.07,2.62,11.3,47500,3000,3.18,100,2.51
"Israel",7330000,81.9,34400,3,4.56,11.6,34400,1320,339,100,197
"Italy",59800000,82.1,42700,1.43,3.97,10,42700,2520,202,99.8,577
"Jamaica",2730000,76.3,9700,2.17,18.3,2.03,9700,132,252,91.2,523
"Jordan",6930000,76.9,11900,3.66,20.3,3.86,11900,242,78.1,98.8,245
"Japan",128000000,83.3,38100,1.37,3.2,11.3,38100,3360,340,98.7,828
"Kazakhstan",16600000,67.6,20800,2.67,20.2,8.21,20800,234,6.16,93.7,2250
"Kenya",41500000,61.2,3740,4.37,56.5,0.402,3740,16.3,71.5,54.7,3950
"Kyrgyz Republic",5480000,69.6,4140,2.98,29.6,2.05,4140,30.1,28.6,85.3,410
"Cambodia",14400000,66.9,2710,2.88,44.3,1.12,2710,16.8,79.3,65.9,495
"Kiribati",108000,58.8,1820,3.84,64.7,0.57,1820,131,149,68.2,4.46
"South Korea",48800000,80.8,34400,1.19,4.13,13.3,34400,848,493,99,1010
"Kuwait",2940000,80.1,59800,2.22,10.4,26.4,59800,983,165,100,31
"Lao",6320000,64.9,4790,3.15,68.1,0.355,4790,15.4,27.4,67.9,770
"Lebanon",5000000,75.6,19200,1.61,10.2,4.04,19200,255,488,88.8,176
"Liberia",4020000,61.9,1420,5.02,96.7,0.196,1420,9.49,41.7,69.4,108
"Libya",6490000,76.2,31400,2.41,16.6,9.87,31400,333,3.87,92.9,115
"St. Lucia",171000,75.6,14300,1.54,18.6,2.32,14300,282,277,93.4,34.2
"Sri Lanka",20700000,74,9250,2.2,11.6,1.07,9250,31.3,330,85.7,789
"Lesotho",2020000,48.1,2320,3.3,100,1.14,2320,83,66.6,69.4,704
"Lithuania",3140000,73.2,23900,1.51,6.04,6.57,23900,574,50.1,94.2,264
"Luxembourg",507000,81,114000,1.58,2.99,21.2,114000,6910,196,100,5.97
"Latvia",2100000,73.3,21200,1.51,7.81,6.32,21200,439,33.8,98.3,177
"Morocco",32500000,71.9,6780,2.58,32,1.79,6780,56.2,72.7,74.9,446
"Moldova",3680000,70,8430,1.27,17.2,1.18,8430,87.2,112,86.8,343
"Madagascar",21700000,62.6,1510,4.6,67.3,0.148,1510,9.59,37.4,44.2,478
"Maldives",362000,77.8,16500,2.23,13.8,2.56,16500,231,1210,97.3,7.52
"North Macedonia",2090000,73.4,13500,1.47,10.2,4.15,13500,202,84,97.2,51
"Mali",15500000,58.4,2020,6.55,131,0.131,2020,14.8,12.7,65.6,1340
"Malta",419000,81.1,32900,1.39,6.81,14,32900,1110,1330,100,5.63
"Myanmar",49400000,64.8,2830,2.41,63.3,0.259,2830,2.09,75.6,63.2,762
"Montenegro",631000,74.7,16800,1.77,6.44,3.88,16800,389,45.7,96.2,24
"Mongolia",2700000,65.1,7520,2.64,26.1,5.4,7520,66.2,1.74,75.2,300
"Mozambique",23100000,53.5,1050,5.56,105,0.371,1050,15.3,29.3,39,1530
"Mauritania",3420000,68.1,4770,4.98,97.1,0.561,4770,22.7,3.32,57,184
"Mauritius",1280000,74.2,17300,1.58,15.2,3.83,17300,187,632,99.7,45.5
"Malawi",14700000,56.3,1350,5.31,88.4,0.065,1350,15.4,156,62.1,391
"Malaysia",28700000,74.4,20200,2.15,7.94,6.41,20200,204,87.4,97,706
"Namibia",2100000,60.9,9120,3.61,48.3,3.56,9120,211,2.55,80.9,441
"Niger",16600000,59,1020,7.49,123,0.071,1020,9.3,13.1,43.6,1270
"Nigeria",161000000,59.6,4860,5.84,135,0.602,4860,23.8,177,60,11200
"Netherlands",16600000,81,52000,1.8,4.46,13.4,52000,4430,494,100,165
"Norway",4890000,81.3,61700,1.95,3.23,11.3,61700,6790,16.1,100,35.1
"Nepal",27200000,69,2680,2.61,46.8,0.162,2680,9.9,185,85.6,512
"New Zealand",4350000,80.9,37600,2.12,6.14,8.34,37600,2730,16.4,100,60.6
"Oman",2880000,70.4,40800,2.9,11.7,14.9,40800,460,9.31,87.8,22.7
"Pakistan",194000000,63.3,4060,3.86,87.5,0.847,4060,8.38,252,88.8,13700
"Panama",3620000,78.5,22200,2.62,19.9,0.353,22200,463,48.9,92,774
"Peru",29200000,77.3,10000,2.55,20.1,2.11,10000,145,22.8,87.4,1150
"Philippines",94600000,70.6,5880,3.16,32,1.08,5880,27.3,315,89.9,14500
"Papua New Guinea",7580000,62.8,3280,3.99,58.2,0.638,3280,35.4,16.7,37.9,631
"Poland",38600000,76.5,23700,1.37,5.98,8.52,23700,666,126,98.4,719
"Portugal",10600000,80.2,31800,1.33,3.87,9.03,31800,1610,115,99.2,224
"Paraguay",5770000,75.7,11300,2.73,26,1.51,11300,59.3,14.3,89.9,744
"Qatar",1710000,73.4,104000,2.07,9,25.6,104000,1150,148,99.9,20.5
"Romania",20300000,73.8,20400,1.47,11.5,4.53,20400,334,88.4,100,538
"Russia",143000000,68.8,24000,1.57,10.3,9.42,24000,326,8.75,96.1,31800
"Rwanda",10300000,64.5,1470,4.52,63.5,0.059,1470,27.8,426,53.8,409
"Sudan",33700000,67.4,4750,4.88,75.9,0.417,4750,25,19.1,51.4,1340
"Senegal",12500000,65.7,2830,5.06,66.4,0.591,2830,32.5,65.1,71.8,140
"Singapore",5160000,82.8,78200,1.26,2.81,21.7,78200,629,7560,100,32.6
"Solomon Islands",540000,57.4,2410,4.24,25.7,0.354,2410,99.6,18.8,73.5,38.3
"Sierra Leone",6440000,56,1400,5.2,163,0.09,1400,4.82,89.7,51.6,102
"El Salvador",6110000,75.2,7410,2.27,19.3,1.29,7410,146,295,89.6,3190
"Serbia",7650000,74.1,14500,1.58,7.61,5.09,14500,338,99.7,91.5,243
"Sao Tome and Principe",182000,69,3320,4.79,45.4,0.549,3320,34.5,190,73.8,9.82
"Suriname",546000,72.3,18300,2.52,24.7,4.53,18300,235,3.5,93.5,50.6
"Slovak Republic",5400000,75.8,25600,1.36,6.97,9.42,25600,930,110,98.6,146
"Slovenia",2060000,79.7,33400,1.52,3.21,9.64,33400,1590,102,99.5,16.6
"Sweden",9380000,81.9,47800,1.99,3.06,9.15,47800,3820,23,99.6,122
"Eswatini",1100000,48,7220,3.53,88.7,0.995,7220,129,63.3,62.1,216
"Seychelles",92400,73.2,21800,2.36,14.1,4.86,21800,339,202,95.2,5.05
"Syria",22300000,74.7,12400,3.21,16.1,2.85,12400,44.4,122,93,453
"Chad",11900000,56.5,1740,6.59,150,0.083,1740,7.65,9.45,44.6,826
"Togo",6570000,59.5,1590,4.87,89.6,0.269,1590,18,121,57.6,454
"Thailand",68300000,77,14200,1.55,13.3,3.79,14200,134,134,97.5,5150
"Tajikistan",7620000,68,2360,3.51,43.2,1.04,2360,13.1,53.3,69.5,163
"Turkmenistan",5270000,69.5,8320,2.83,59.9,11.2,8320,63,11.2,94.1,214
"Timor-Leste",1090000,70,2910,6.23,62.3,0.215,2910,31.7,73.2,63.7,23.8
"Tonga",107000,72.2,5000,3.91,17.4,1.13,5000,140,165,98.4,1.55
"Trinidad and Tobago",1410000,73.7,27300,1.81,23.4,17.5,27300,516,275,95.8,467
"Tunisia",10900000,76.2,10500,2.14,18.4,1.8,10500,129,70.1,91.9,94.4
"Turkey",73200000,76.7,19800,2.16,17.3,4.78,19800,510,95.1,95.4,1660
"Tanzania",45100000,61.1,1970,5.43,72.3,0.246,1970,20.8,50.9,43.5,2900
"Uganda",32300000,59.3,1880,6.15,77.4,0.182,1880,10.2,162,40.2,1860
"Ukraine",45700000,70.8,12200,1.45,11.7,5.4,12200,133,78.9,94.9,4460
"Uruguay",3350000,76.5,19500,2.08,10.7,2.93,19500,669,19.4,98.4,188
"USA",311000000,78.9,54500,1.93,7.33,19.1,54500,4440,34,99,17300
"Uzbekistan",28600000,66.5,4950,2.44,36.4,3.63,4950,39.1,67.3,92,873
"St. Vincent and the Grenadines",109000,73.1,11600,2.07,20.9,2.03,11600,240,280,97,21.1
"Venezuela",28700000,75.3,18700,2.47,17,4.54,18700,232,31.3,95.5,12200
"Vietnam",87400000,73.2,6320,1.95,23.1,1.15,6320,31.4,279,88.8,1590
"Vanuatu",245000,64.4,2970,3.5,29.4,0.512,2970,143,20.1,86.3,2.97
"Samoa",195000,69.6,5810,4.34,18.7,1.01,5810,179,68.8,88.6,11.2
"Yemen",24700000,67.6,4300,4.67,56,1,4300,15.3,46.9,50.5,656
"South Africa",51800000,57.1,13500,2.59,52.5,6.2,13500,286,42.4,89.6,21500
"Zambia",13800000,56.5,3080,5.4,80.3,0.392,3080,43.9,18.6,57.8,1250
